nodenumber     x-coordinate     y-coordinate   axial-velocity  radial-velocity 
         1  2.992877546E+00  6.680769228E-03  3.760641957E-01  2.105661506E-04 
         2  2.985185331E+00  6.680754462E-03  3.766222377E-01  2.199172182E-04 
         3  2.985183258E+00  0.000000000E+00  3.769359413E-01  1.118472151E-04 
         4  2.992875583E+00  0.000000000E+00  3.763780561E-01  1.070214995E-04 
         5  2.985187399E+00  1.334661850E-02  3.756969341E-01  4.286341358E-04 
         6  2.992879504E+00  1.334663326E-02  3.751448271E-01  4.123906500E-04 
         7  2.975981098E+00  6.680736795E-03  3.772046331E-01  2.305019086E-04 
         8  2.975979782E+00  0.000000000E+00  3.775213154E-01  1.172454527E-04 
         9  2.975982412E+00  1.334660083E-02  3.762699996E-01  4.485284582E-04 
        10  2.964707548E+00  6.680715155E-03  3.779824307E-01  2.389386433E-04 
        11  2.964705913E+00  0.000000000E+00  3.783039217E-01  1.218436230E-04 
        12  2.964709179E+00  1.334657919E-02  3.770352202E-01  4.649746568E-04 
        13  2.950956119E+00  6.680688758E-03  3.789413849E-01  2.413194161E-04 
        14  2.950954116E+00  0.000000000E+00  3.792685590E-01  1.232190004E-04 
        15  2.950958117E+00  1.334655279E-02  3.779778547E-01  4.694488067E-04 
        16  2.934181529E+00  6.680656559E-03  3.800971432E-01  2.328509314E-04 
        17  2.934179059E+00  0.000000000E+00  3.804310511E-01  1.189298423E-04 
        18  2.934183993E+00  1.334652059E-02  3.791136279E-01  4.529039477E-04 
        19  2.913715525E+00  6.680617273E-03  3.814062568E-01  2.104070743E-04 
        20  2.913712463E+00  0.000000000E+00  3.817479034E-01  1.074177370E-04 
        21  2.913718580E+00  1.334648131E-02  3.803995542E-01  4.091964993E-04 
        22  2.888748720E+00  6.680569349E-03  3.827801168E-01  1.746026981E-04 
        23  2.888744925E+00  0.000000000E+00  3.831298931E-01  8.912687330E-05 
        24  2.888752507E+00  1.334643339E-02  3.817488807E-01  3.393576004E-04 
        25  2.858291338E+00  6.680510884E-03  3.840927023E-01  1.293352397E-04 
        26  2.858286620E+00  0.000000000E+00  3.844502809E-01  6.605204834E-05 
        27  2.858296046E+00  1.334637492E-02  3.830379373E-01  2.516240964E-04 
        28  2.821137579E+00  6.680439566E-03  3.851960109E-01  8.371536763E-05 
        29  2.821131717E+00  0.000000000E+00  3.855601873E-01  4.281132938E-05 
        30  2.821143429E+00  1.334630361E-02  3.841211438E-01  1.624967888E-04 
        31  2.775816089E+00  6.680352570E-03  3.860019217E-01  4.530027154E-05 
        32  2.775808803E+00  0.000000000E+00  3.863708729E-01  2.300744142E-05 
        33  2.775823360E+00  1.334621662E-02  3.849122269E-01  8.815519100E-05 
        34  2.720531262E+00  6.680246449E-03  3.864937919E-01  2.025794822E-05 
        35  2.720522201E+00  0.000000000E+00  3.868659605E-01  9.841175167E-06 
        36  2.720540304E+00  1.334611050E-02  3.853945186E-01  3.976991008E-05 
        37  2.653844281E+00  6.680118441E-03  3.867368219E-01  7.546743663E-06 
        38  2.653833432E+00  0.000000000E+00  3.871105360E-01  3.155303739E-06 
        39  2.653855107E+00  1.334598249E-02  3.856327644E-01  1.488290803E-05 
        40  2.581337834E+00  6.679979262E-03  3.868426915E-01  1.829038156E-06 
        41  2.581326108E+00  0.000000000E+00  3.872170608E-01  5.438511578E-07 
        42  2.581349536E+00  1.334584332E-02  3.857366381E-01  4.131410024E-06 
        43  2.506754944E+00  6.679836097E-03  3.868722823E-01  8.311804823E-07 
        44  2.506742998E+00  0.000000000E+00  3.872468752E-01  3.118692791E-07 
        45  2.506766864E+00  1.334570015E-02  3.857655711E-01  1.476761653E-06 
        46  2.432172053E+00  6.679692932E-03  3.868837944E-01  5.371910791E-08 
        47  2.432159889E+00  0.000000000E+00  3.872583461E-01 -1.317134851E-07 
        48  2.432184192E+00  1.334555699E-02  3.857770755E-01  2.015369636E-07 
        49  2.357589162E+00  6.679549767E-03  3.868804988E-01 -1.622003587E-08 
        50  2.357576779E+00  0.000000000E+00  3.872550733E-01 -1.527512840E-07 
        51  2.357601520E+00  1.334541382E-02  3.857737123E-01  7.185565182E-08 
        52  2.283006271E+00  6.679406603E-03  3.868843664E-01 -5.886486451E-08 
        53  2.282993670E+00  0.000000000E+00  3.872589194E-01 -1.819514008E-07 
        54  2.283018847E+00  1.334527066E-02  3.857776068E-01  2.090382112E-08 
        55  2.208423381E+00  6.679263438E-03  3.868807525E-01 -5.153352881E-08 
        56  2.208410560E+00  0.000000000E+00  3.872552880E-01 -1.799694560E-07 
        57  2.208436175E+00  1.334512749E-02  3.857740118E-01  3.770998269E-08 
        58  2.133840490E+00  6.679120273E-03  3.868837066E-01 -5.337878426E-08 
        59  2.133827451E+00  0.000000000E+00  3.872582241E-01 -1.850865561E-07 
        60  2.133853503E+00  1.334498433E-02  3.857769851E-01  4.787586472E-08 
        61  2.059257599E+00  6.678977109E-03  3.868811543E-01 -5.025336007E-08 
        62  2.059244342E+00  0.000000000E+00  3.872556523E-01 -1.745321980E-07 
        63  2.059270831E+00  1.334484116E-02  3.857744554E-01  4.052384854E-08 
        64  1.984674709E+00  6.678833944E-03  3.868832735E-01 -5.394116481E-08 
        65  1.984661232E+00  0.000000000E+00  3.872577529E-01 -1.813768716E-07 
        66  1.984688159E+00  1.334469800E-02  3.857765945E-01  4.980201643E-08 
        67  1.910091818E+00  6.678690779E-03  3.868815313E-01 -5.317538912E-08 
        68  1.910078123E+00  0.000000000E+00  3.872559918E-01 -1.738286998E-07 
        69  1.910105487E+00  1.334455484E-02  3.857748737E-01  4.089037686E-08 
        70  1.835508927E+00  6.678547614E-03  3.868829088E-01 -5.630681170E-08 
        71  1.835495013E+00  0.000000000E+00  3.872573509E-01 -1.800819439E-07 
        72  1.835522814E+00  1.334441167E-02  3.857762707E-01  4.914830246E-08 
        73  1.760926036E+00  6.678404450E-03  3.868818467E-01 -5.461072329E-08 
        74  1.760911904E+00  0.000000000E+00  3.872562699E-01 -1.727604333E-07 
        75  1.760940142E+00  1.334426851E-02  3.857752300E-01  4.087170323E-08 
        76  1.686343145E+00  6.678261285E-03  3.868826129E-01 -5.734512524E-08 
        77  1.686328794E+00  0.000000000E+00  3.872570174E-01 -1.782537717E-07 
        78  1.686357470E+00  1.334412534E-02  3.857760165E-01  4.778091109E-08 
        79  1.611760255E+00  6.678118120E-03  3.868821138E-01 -5.541446832E-08 
        80  1.611745685E+00  0.000000000E+00  3.872564994E-01 -1.712987545E-07 
        81  1.611774798E+00  1.334398218E-02  3.857755384E-01  4.037293737E-08 
        82  1.537177364E+00  6.677974955E-03  3.868823232E-01 -5.866060993E-08 
        83  1.537162575E+00  0.000000000E+00  3.872566904E-01 -1.770696301E-07 
        84  1.537192126E+00  1.334383901E-02  3.857757682E-01  4.658623358E-08 
        85  1.462594473E+00  6.677831791E-03  3.868823659E-01 -5.397462881E-08 
        86  1.462579466E+00  0.000000000E+00  3.872567140E-01 -1.662698475E-07 
        87  1.462609453E+00  1.334369585E-02  3.857758320E-01  4.030798047E-08 
        88  1.388011582E+00  6.677688626E-03  3.868820583E-01 -5.899312471E-08 
        89  1.387996356E+00  0.000000000E+00  3.872563874E-01 -1.736069777E-07 
        90  1.388026781E+00  1.334355269E-02  3.857755458E-01  4.624799057E-08 
        91  1.313428691E+00  6.677545461E-03  3.868826275E-01 -5.667204542E-08 
        92  1.313413247E+00  0.000000000E+00  3.872569384E-01 -1.661976963E-07 
        93  1.313444109E+00  1.334340952E-02  3.857761346E-01  3.881840093E-08 
        94  1.238845801E+00  6.677402297E-03  3.868817519E-01 -5.553302229E-08 
        95  1.238830137E+00  0.000000000E+00  3.872560439E-01 -1.680865337E-07 
        96  1.238861437E+00  1.334326636E-02  3.857752800E-01  4.726117132E-08 
        97  1.164262910E+00  6.677259132E-03  3.868829330E-01 -5.572640906E-08 
        98  1.164247028E+00  0.000000000E+00  3.872572063E-01 -1.620721058E-07 
        99  1.164278764E+00  1.334312319E-02  3.857764812E-01  3.743542010E-08 
       100  1.089680019E+00  6.677115967E-03  3.868814290E-01 -5.455952014E-08 
       101  1.089663919E+00  0.000000000E+00  3.872556833E-01 -1.641235913E-07 
       102  1.089696092E+00  1.334298003E-02  3.857749986E-01  4.664354130E-08 
       103  1.015097128E+00  6.676972802E-03  3.868832914E-01 -5.637025898E-08 
       104  1.015080809E+00  0.000000000E+00  3.872575271E-01 -1.580570373E-07 
       105  1.015113420E+00  1.334283686E-02  3.857768807E-01  3.485929285E-08 
       106  9.405142371E-01  6.676829638E-03  3.868810092E-01 -5.545101137E-08 
       107  9.404976996E-01  0.000000000E+00  3.872552261E-01 -1.603022033E-07 
       108  9.405307475E-01  1.334269370E-02  3.857746201E-01  4.360507977E-08 
       109  8.659313462E-01  6.676686473E-03  3.868836981E-01 -5.493723985E-08 
       110  8.659145901E-01  0.000000000E+00  3.872578964E-01 -1.515279245E-07 
       111  8.659480752E-01  1.334255054E-02  3.857773290E-01  3.543840706E-08 
       112  7.913484554E-01  6.676543308E-03  3.868805962E-01 -5.283481770E-08 
       113  7.913314806E-01  0.000000000E+00  3.872547759E-01 -1.526381644E-07 
       114  7.913654029E-01  1.334240737E-02  3.857742467E-01  4.305502685E-08 
       115  3.000000000E+00  6.680782900E-03  3.757489999E-01  2.065287141E-04 
       116  3.000000000E+00  1.334664693E-02  3.748317355E-01  4.057791643E-04 
       117  7.167655644E-01  6.676400143E-03  3.868844492E-01 -1.767874105E-08 
       118  7.167483712E-01  0.000000000E+00  3.872586116E-01 -1.284052213E-07 
       119  7.167827306E-01  1.334226421E-02  3.857781185E-01  1.129846273E-07 
       120  6.421826735E-01  6.676256979E-03  3.868818858E-01  2.528617001E-08 
       121  6.421652617E-01  0.000000000E+00  3.872560356E-01 -1.055163444E-07 
       122  6.422000582E-01  1.334212104E-02  3.857755507E-01  1.911452416E-07 
       123  5.675997826E-01  6.676113814E-03  3.868884959E-01  2.450604501E-07 
       124  5.675821523E-01  0.000000000E+00  3.872625525E-01 -5.386499923E-08 
       125  5.676173859E-01  1.334197788E-02  3.857822902E-01  7.847461893E-07 
       126  4.930168917E-01  6.675970649E-03  3.868860004E-01 -8.120397213E-07 
       127  4.929990428E-01  0.000000000E+00  3.872601152E-01 -6.119134564E-07 
       128  4.930347135E-01  1.334183471E-02  3.857797914E-01 -6.487168045E-07 
       129  4.184340007E-01  6.675827485E-03  3.868247511E-01 -3.483748163E-06 
       130  4.184159333E-01  0.000000000E+00  3.871984601E-01 -1.413955252E-06 
       131  4.184520412E-01  1.334169155E-02  3.857199517E-01 -6.896568236E-06 
       132  3.459405985E-01  6.675688331E-03  3.864785200E-01 -2.953882832E-05 
       133  3.459233599E-01  0.000000000E+00  3.868497812E-01 -1.415518309E-05 
       134  3.459578117E-01  1.334155239E-02  3.853803064E-01 -6.058439874E-05 
       135  2.792854865E-01  6.675560384E-03  3.848949218E-01 -1.508849145E-04 
       136  2.792706311E-01  0.000000000E+00  3.852543050E-01 -7.594173726E-05 
       137  2.793003203E-01  1.334142444E-02  3.838313787E-01 -2.973621149E-04 
       138  2.240335548E-01  6.675454325E-03  3.799092029E-01 -5.321681495E-04 
       139  2.240212248E-01  0.000000000E+00  3.802355074E-01 -2.693022007E-04 
       140  2.240458671E-01  1.334131838E-02  3.789405362E-01 -1.040603864E-03 
       141  1.787388936E-01  6.675367381E-03  3.687154256E-01 -1.312453653E-03 
       142  1.787286564E-01  0.000000000E+00  3.689800714E-01 -6.652365859E-04 
       143  1.787491163E-01  1.334123143E-02  3.679240696E-01 -2.560950524E-03 
       144  1.416070975E-01  6.675296105E-03  3.495416029E-01 -2.441800250E-03 
       145  1.415985958E-01  0.000000000E+00  3.497204526E-01 -1.237282568E-03 
       146  1.416155873E-01  1.334116015E-02  3.490007543E-01 -4.767972579E-03 
       147  1.111677975E-01  6.675237675E-03  3.234751818E-01 -3.643351457E-03 
       148  1.111607405E-01  0.000000000E+00  3.235657326E-01 -1.844524539E-03 
       149  1.111748447E-01  1.334110172E-02  3.231942740E-01 -7.127169436E-03 
       150  8.621555496E-02  6.675189778E-03  2.941874695E-01 -4.540889799E-03 
       151  8.620968687E-02  0.000000000E+00  2.942135311E-01 -2.297333030E-03 
       152  8.622141485E-02  1.334105382E-02  2.941031159E-01 -8.900674542E-03 
       153  6.576158637E-02  6.675150516E-03  2.661669534E-01 -4.890141743E-03 
       154  6.575670718E-02  0.000000000E+00  2.661598092E-01 -2.476539312E-03 
       155  6.576645877E-02  1.334101456E-02  2.661904362E-01 -9.603126521E-03 
       156  4.899661160E-02  6.675118335E-03  2.426281698E-01 -4.677012814E-03 
       157  4.899254441E-02  0.000000000E+00  2.426120748E-01 -2.368006604E-03 
       158  4.900067316E-02  1.334098237E-02  2.426853046E-01 -9.192954327E-03 
       159  3.525288778E-02  6.675091954E-03  2.248948711E-01 -4.029626325E-03 
       160  3.524948909E-02  0.000000000E+00  2.248848016E-01 -2.037052441E-03 
       161  3.525628177E-02  1.334095599E-02  2.249423972E-01 -7.924647723E-03 
       162  2.398629170E-02  6.675070327E-03  2.128270808E-01 -3.122067494E-03 
       163  2.398346830E-02  0.000000000E+00  2.128272215E-01 -1.577658085E-03 
       164  2.398911120E-02  1.334093436E-02  2.128510848E-01 -6.143262106E-03 
       165  1.475849798E-02  6.675052614E-03  2.055559576E-01 -2.110260984E-03 
       166  1.475612418E-02  0.000000000E+00  2.055583441E-01 -1.065809322E-03 
       167  1.476086852E-02  1.334091665E-02  2.055678501E-01 -4.155037042E-03 
       168  7.068496629E-03  6.675037853E-03  2.018021465E-01 -1.085854726E-03 
       169  7.066310563E-03  0.000000000E+00  2.018131641E-01 -5.458128111E-04 
       170  7.070679691E-03  1.334090189E-02  2.017972911E-01 -2.139309253E-03 
       171  2.985189468E+00  2.001248253E-02  3.741616843E-01  6.310418390E-04 
       172  2.992881462E+00  2.001249730E-02  3.736244266E-01  6.084136089E-04 
       173  2.975983725E+00  2.001246486E-02  3.747192405E-01  6.590208009E-04 
       174  2.964710810E+00  2.001244322E-02  3.754644275E-01  6.829665362E-04 
       175  2.950960116E+00  2.001241683E-02  3.763803795E-01  6.890903532E-04 
       176  2.934186458E+00  2.001238463E-02  3.774831080E-01  6.645964749E-04 
       177  2.913721636E+00  2.001234535E-02  3.787309182E-01  6.003832166E-04 
       178  2.888756294E+00  2.001229743E-02  3.800395813E-01  4.974507746E-04 
       179  2.858300754E+00  2.001223896E-02  3.812894394E-01  3.688292919E-04 
       180  2.821149279E+00  2.001216765E-02  3.823390759E-01  2.379236199E-04 
       181  2.775830630E+00  2.001208066E-02  3.831052543E-01  1.293494194E-04 
       182  2.720549346E+00  2.001197455E-02  3.835718469E-01  5.825786149E-05 
       183  2.653865932E+00  2.001184654E-02  3.838020614E-01  2.138703446E-05 
       184  2.581361238E+00  2.001170737E-02  3.839026648E-01  6.271652083E-06 
       185  2.506778784E+00  2.001156420E-02  3.839305257E-01  1.849390436E-06 
       186  2.432196331E+00  2.001142104E-02  3.839418826E-01  1.966932691E-07 
       187  2.357613877E+00  2.001127788E-02  3.839384397E-01  2.343491344E-08 
       188  2.283031423E+00  2.001113471E-02  3.839423600E-01 -2.187722056E-08 
       189  2.208448970E+00  2.001099155E-02  3.839387846E-01 -5.679413179E-09 
       190  2.133866516E+00  2.001084839E-02  3.839417752E-01  1.996835047E-08 
       191  2.059284063E+00  2.001070522E-02  3.839392682E-01  1.715904115E-09 
       192  1.984701609E+00  2.001056206E-02  3.839414248E-01  2.579810084E-08 
       193  1.910119156E+00  2.001041889E-02  3.839397250E-01  6.928842426E-09 
