"report-file-0"
"Iteration" "report-def-drag-coef etc.."
("Iteration" "report-def-drag-coef" "report-def-drag-force")
1 3.321893997325812e-06 2.03466007336206e-06
2 2.858111741675089e-06 1.750593441775992e-06
3 2.643857323017721e-06 1.619362610348354e-06
4 2.613770936725945e-06 1.600934698744641e-06
5 2.641239583366192e-06 1.617759244811793e-06
6 2.725202467341235e-06 1.669186511246506e-06
7 2.795396830902068e-06 1.712180558927517e-06
8 2.8634517400337e-06 1.753864190770641e-06
9 2.91703229341924e-06 1.786682279719284e-06
10 2.950166847775384e-06 1.806977194262423e-06
11 2.974938061713517e-06 1.82214956279953e-06
12 2.99414823404969e-06 1.833915793355435e-06
13 3.009017687049966e-06 1.843023333318104e-06
14 3.020495582233359e-06 1.850053544117933e-06
15 3.02930296032638e-06 1.855448063199908e-06
16 3.03606378412021e-06 1.859589067773628e-06
17 3.041230716745201e-06 1.862753814006436e-06
18 3.045171598157208e-06 1.86516760387129e-06
19 3.048181052544733e-06 1.867010894683649e-06
20 3.050471640550372e-06 1.868413879837103e-06
21 3.052210337980936e-06 1.869478832013323e-06
22 3.053527695640526e-06 1.870285713579822e-06
23 3.054525668417501e-06 1.870896971905719e-06
24 3.055281553412208e-06 1.871359951464978e-06
25 3.055854552456273e-06 1.871710913379468e-06
26 3.056288138862916e-06 1.871976485053536e-06
27 3.056616318534204e-06 1.8721774951022e-06
28 3.056864526759349e-06 1.872329522640101e-06
29 3.057052113323757e-06 1.872444419410801e-06
30 3.057193828275121e-06 1.872531219818512e-06
31 3.05731701612512e-06 1.872606672376636e-06
32 3.057378973903436e-06 1.872644621515855e-06
33 3.057413694568629e-06 1.872665887923285e-06
34 3.057468679251694e-06 1.872699566041663e-06
35 3.057493401565862e-06 1.87271470845909e-06
36 3.057528210473208e-06 1.87273602891484e-06
37 3.05754750143795e-06 1.872747844630745e-06
38 3.057558927343526e-06 1.87275484299791e-06
39 3.057576837714252e-06 1.87276581309998e-06
40 3.057586811986197e-06 1.872771922341546e-06
