"report-file-0"
"Iteration" "report-def-drag-coef etc.."
("Iteration" "report-def-drag-coef" "report-def-drag-force")
1 6.492812527087257e-05 3.976847672840945e-05
2 3.610517421445482e-05 2.211441920635358e-05
3 1.905551267164687e-05 1.167150151138371e-05
4 1.205872999083983e-05 7.385972119389398e-06
5 8.772305257666912e-06 5.373036970320984e-06
6 7.190999982489526e-06 4.404487489274835e-06
7 6.374831147946419e-06 3.904584078117182e-06
8 5.928017704680376e-06 3.630910844116731e-06
9 5.675890369666291e-06 3.476482851420603e-06
10 5.533543195287257e-06 3.389295207113445e-06
11 5.454123116217845e-06 3.34065040868343e-06
12 5.410888561242143e-06 3.314169243760813e-06
13 5.38812805620047e-06 3.300228434422788e-06
14 5.376840156331138e-06 3.293314595752822e-06
15 5.371798355466063e-06 3.290226492722964e-06
16 5.369974325660638e-06 3.289109274467141e-06
17 5.369809077387006e-06 3.289008059899541e-06
18 5.370428060366545e-06 3.289387186974509e-06
19 5.371342022890528e-06 3.289946989020449e-06
20 5.372299478931034e-06 3.290533430845259e-06
21 5.373172775583163e-06 3.291068325044688e-06
22 5.373918133889491e-06 3.291524857007314e-06
23 5.374537193795683e-06 3.291904031199856e-06
24 5.375040072176807e-06 3.292212044208294e-06
25 5.375444482569945e-06 3.292459745574092e-06
26 5.375865842467878e-06 3.292717828511575e-06
27 5.376021759836622e-06 3.292813327899931e-06
28 5.376246505756936e-06 3.292950984776123e-06
29 5.376335694079126e-06 3.293005612623465e-06
30 5.376473013398794e-06 3.293089720706762e-06
31 5.376553336876238e-06 3.293138918836696e-06
32 5.376608218448829e-06 3.293172533799908e-06
33 5.376650379332914e-06 3.29319835734141e-06
34 5.376684027598134e-06 3.293218966903857e-06
35 5.376701765374595e-06 3.29322983129194e-06
36 5.376737652844645e-06 3.293251812367345e-06
37 5.376752159563171e-06 3.293260697732442e-06
38 5.376770715574796e-06 3.293272063289563e-06
39 5.376786932072522e-06 3.29328199589442e-06
40 5.376799552045819e-06 3.293289725628065e-06
41 5.376809143221381e-06 3.293295600223096e-06
42 5.376816363535576e-06 3.293300022665541e-06
43 5.376821745071869e-06 3.29330331885652e-06
44 5.376825749060963e-06 3.29330577129984e-06
45 5.376828690789204e-06 3.293307573108388e-06
46 5.376830864505564e-06 3.293308904509658e-06
47 5.376832433921946e-06 3.293309865777193e-06
48 5.37683359004494e-06 3.293310573902526e-06
49 5.376834403081535e-06 3.293311071887441e-06
50 5.376835003413638e-06 3.293311439590854e-06
51 5.376835404800384e-06 3.293311685440235e-06
52 5.376835704601146e-06 3.293311869068202e-06
53 5.376835884447025e-06 3.293311979223803e-06
54 5.376836024920091e-06 3.293312065263556e-06
55 5.376836088353362e-06 3.293312104116435e-06
56 5.376836146596345e-06 3.293312139790262e-06
57 5.376836150733816e-06 3.293312142324462e-06
58 5.376836168394446e-06 3.293312153141599e-06
59 5.376836143498751e-06 3.293312137892986e-06
60 5.376836142029418e-06 3.293312136993019e-06
