"report-file-0"
"Iteration" "report-def-drag-coef etc.."
("Iteration" "report-def-drag-coef" "report-def-drag-force")
1 5.396214952070621e-05 3.305181658143256e-05
2 2.800296844835583e-05 1.715181817461795e-05
3 1.56145538756906e-05 9.563914248860492e-06
4 9.533819118004824e-06 5.839464209777956e-06
5 6.393339316352319e-06 3.915920331265796e-06
6 4.716166784848415e-06 2.888652155719654e-06
7 3.788049274511867e-06 2.320180180638519e-06
8 3.24971897393728e-06 1.990452871536584e-06
9 2.925879839761032e-06 1.792101401853632e-06
10 2.72812232026892e-06 1.670974921164713e-06
11 2.606889074915209e-06 1.596719558385566e-06
12 2.532557991988876e-06 1.551191770093186e-06
13 2.48675891573408e-06 1.523139835887124e-06
14 2.458220535614348e-06 1.505660078063788e-06
15 2.44021449406161e-06 1.494631377612736e-06
16 2.428690020788574e-06 1.487572637733002e-06
17 2.421144276387449e-06 1.482950869287313e-06
18 2.416145072344031e-06 1.479888856810719e-06
19 2.412798031035086e-06 1.47783879400899e-06
20 2.410537095389933e-06 1.476453970926334e-06
21 2.408991732194165e-06 1.475507435968926e-06
22 2.407914216176747e-06 1.474847457408258e-06
23 2.40715028358874e-06 1.474379548698103e-06
24 2.406598504449783e-06 1.474041583975492e-06
25 2.406196370752231e-06 1.473795277085741e-06
26 2.405878348601053e-06 1.473600488518145e-06
27 2.405762001165331e-06 1.473529225713765e-06
28 2.405591588106156e-06 1.473424847715021e-06
29 2.405445019048725e-06 1.473335074167344e-06
30 2.405380553848748e-06 1.473295589232358e-06
31 2.40533663618893e-06 1.47326868966572e-06
32 2.405263881667741e-06 1.473224127521492e-06
33 2.405231730101338e-06 1.47320443468707e-06
34 2.405185017583272e-06 1.473175823269754e-06
35 2.405163817918801e-06 1.473162838475266e-06
36 2.405133881643679e-06 1.473144502506753e-06
37 2.405118350546985e-06 1.473134989710028e-06
38 2.405107668488189e-06 1.473128446949016e-06
39 2.405091672299551e-06 1.473118649283475e-06
40 2.4050831943195e-06 1.473113456520694e-06
41 2.405077354312194e-06 1.473109879516219e-06
42 2.405068818535664e-06 1.473104651353094e-06
43 2.405064239789854e-06 1.473101846871285e-06
44 2.405060736459584e-06 1.473099701081495e-06
45 2.405058116301059e-06 1.473098096234398e-06
46 2.405054328985498e-06 1.473095776503618e-06
47 2.405052481999513e-06 1.473094645224702e-06
48 2.405050062761497e-06 1.473093163441417e-06
49 2.40504888829454e-06 1.473092444080406e-06
50 2.405047464128765e-06 1.473091571778869e-06
51 2.405046314895656e-06 1.473090867873589e-06
52 2.405045426322617e-06 1.473090323622603e-06
53 2.405044767250077e-06 1.473089919940672e-06
54 2.405044257927253e-06 1.473089607980442e-06
55 2.405043886826452e-06 1.473089380681202e-06
56 2.405043595264558e-06 1.473089202099542e-06
57 2.405043388273003e-06 1.473089075317215e-06
58 2.405043220304415e-06 1.473088972436454e-06
59 2.405043106156991e-06 1.473088902521157e-06
60 2.405043008015957e-06 1.473088842409774e-06
