"report-file-0"
"Iteration" "report-def-drag-coef etc.."
("Iteration" "report-def-drag-coef" "report-def-drag-force")
1 5.910641103363259e-05 3.620267675809996e-05
2 3.085289566083432e-05 1.889739859226102e-05
3 1.724617944489855e-05 1.056328491000036e-05
4 1.055210784800448e-05 6.463166056902746e-06
5 7.09377201813925e-06 4.344935361110291e-06
6 5.250985414196147e-06 3.216228566195141e-06
7 4.233494427132771e-06 2.593015336618823e-06
8 3.644546284990533e-06 2.232284599556702e-06
9 3.291396424016559e-06 2.015980309710143e-06
10 3.076016305817422e-06 1.884059987313171e-06
11 2.944031527158952e-06 1.803219310384858e-06
12 2.862845159253181e-06 1.753492660042574e-06
13 2.812579150298322e-06 1.722704729557722e-06
14 2.781122686655893e-06 1.703437645576735e-06
15 2.76114916187933e-06 1.69120386165109e-06
16 2.748280009507553e-06 1.683321505823376e-06
17 2.739824717065114e-06 1.678142639202382e-06
18 2.734201179453268e-06 1.674698222415127e-06
19 2.730415058193929e-06 1.672379223143781e-06
20 2.727842406688739e-06 1.670803474096853e-06
21 2.726061438907911e-06 1.669712631331095e-06
22 2.724807833109025e-06 1.668944797779278e-06
23 2.723905494831959e-06 1.668392115584575e-06
24 2.723249888418686e-06 1.667990556656445e-06
25 2.722773037042507e-06 1.667698485188536e-06
26 2.722425366061866e-06 1.667485536712893e-06
27 2.722171740745705e-06 1.667330191206744e-06
28 2.721965802682075e-06 1.667204054142771e-06
29 2.72189079399585e-06 1.667158111322458e-06
30 2.7217752099821e-06 1.667087316114037e-06
31 2.721728608019602e-06 1.667058772412006e-06
32 2.721656958522038e-06 1.667014887094748e-06
33 2.721621655410078e-06 1.666993263938673e-06
34 2.721598544050739e-06 1.666979108231078e-06
35 2.721560879479734e-06 1.666956038681337e-06
36 2.72154408387647e-06 1.666945751374338e-06
37 2.721520009390544e-06 1.666931005751708e-06
38 2.721509094719111e-06 1.666924320515455e-06
39 2.721493837480901e-06 1.666914975457052e-06
40 2.721486832215878e-06 1.666910684732226e-06
41 2.72147719941064e-06 1.666904784639017e-06
42 2.721472735381477e-06 1.666902050421155e-06
43 2.721466664861339e-06 1.66689833222757e-06
44 2.721463834461609e-06 1.666896598607736e-06
45 2.721460359450463e-06 1.666894470163409e-06
46 2.721457510964793e-06 1.666892725465936e-06
47 2.7214553450235e-06 1.666891398826894e-06
48 2.721453700569966e-06 1.666890391599105e-06
49 2.721452465577175e-06 1.66688963516602e-06
50 2.72145152900918e-06 1.666889061518123e-06
51 2.721450828532528e-06 1.666888632476173e-06
52 2.721450294365641e-06 1.666888305298955e-06
53 2.721449896909332e-06 1.666888061856966e-06
54 2.721449592249549e-06 1.666887875252849e-06
55 2.721449367456649e-06 1.666887737567197e-06
56 2.721449192342441e-06 1.666887630309745e-06
57 2.721449064404821e-06 1.666887551947953e-06
58 2.721448962249271e-06 1.666887489377679e-06
59 2.721448889107831e-06 1.666887444578547e-06
60 2.721448828466295e-06 1.666887407435606e-06
